年份,編號,中文名稱,英文名稱,侵臺路徑分類,警報期間,近臺強度,生命期近中心最低氣壓(hPa),近臺近中心最大風速(m/s),近臺7級風暴風半徑,近臺10級風暴風半徑,警報發布報數
1991,199107,艾美,AMY,5,"1991-07-17 16:00
1991-07-19 21:10",強烈,950,51,300,180,10
1990,199018,艾德,ED,---,"1990-09-14 02:40
1990-09-15 10:00",中度,960,33,200,50,6
1990,199017,黛特,DOT,3,"1990-09-06 09:50
1990-09-08 21:10",中度,960,38,350,100,11
1990,199015,蓓琪,BECKY,---,"1990-08-26 04:40
1990-08-27 09:20",輕度,970,30,250,80,6
1990,199014,亞伯,ABE,1,"1990-08-29 09:20
1990-08-31 09:10",中度,955,45,250,120,9
1990,199012,楊希,YANCY,2,"1990-08-17 09:50
1990-08-20 15:30",中度,960,40,200,100,14
1990,199007,蘿繽,ROBYN,---,"1990-07-09 10:40
1990-07-10 21:00",輕度,990,20,150,---,7
1990,199006,波西,PERCY,---,"1990-06-26 16:00
1990-06-30 09:00",強烈,950,51,250,120,16
1990,199005,歐菲莉,OFELIA,6,"1990-06-21 16:00
1990-06-24 15:10",中度,968,38,200,100,13
1990,199003,瑪麗安,MARIAN,9,"1990-05-18 09:30
1990-05-19 14:50",中度,960,40,250,100,6
1989,198923,安吉菈,ANGELA,---,"1989-10-05 09:30
1989-10-07 09:40",強烈,930,67,250,120,9
1989,198921,薇拉,VERA,---,"1989-09-14 15:40
1989-09-15 20:30",輕度,985,25,200,---,6
1989,198919,莎拉,SARAH,3,"1989-09-08 09:50
1989-09-13 20:30",強烈,952,51,300,150,23
1989,198913,羅拉,LOLA,---,"1989-07-31 21:30
1989-08-03 09:10",輕度,980,28,250,---,11
1989,198909,賀璞,HOPE,---,"1989-07-18 09:20
1989-07-19 15:00",輕度,990,25,150,---,6
1989,198908,戈登,GORDON,---,"1989-07-15 09:35
1989-07-17 21:20",強烈,920,65,300,150,11
1989,198903,白蘭黛,BRENDA,---,"1989-05-18 15:00
1989-05-20 14:35",中度,970,35,200,80,9
1988,198822,魯碧,RUBY,---,"1988-10-25 16:00
1988-10-27 09:15",中度,916,48,300,150,8
1988,198821,派特,PAT,---,"1988-10-19 15:50
1988-10-21 09:00",中度,968,38,200,50,8
1988,198820,歐黛莎,ODESSA,---,"1988-10-12 15:50
1988-10-14 03:40",輕度,954,25,150,---,7
1988,198819,尼爾森,NELSON,---,"1988-10-03 21:15
1988-10-06 03:40",強烈,898,63,300,120,10
1988,198817,李尹,LEE,---,"1988-09-23 09:50
1988-09-24 09:45",輕度,984,28,150,50,5
1988,198816,克蒂,KIT,---,"1988-09-21 10:15
1988-09-22 09:05",輕度,984,28,150,50,5
1988,198805,華倫,WARREN,---,"1988-07-17 08:45
1988-07-19 21:00",強烈,927,55,250,120,11
1988,198802,蘇珊,SUSAN,9,"1988-05-31 21:15
1988-06-02 20:55",中度,963,40,150,50,9
1987,198720,琳恩,LYNN,5,"1987-10-22 16:05
1987-10-27 09:50",強烈,898,53,400,150,20
1987,198714,傑魯得,GERALD,5,"1987-09-07 16:10
1987-09-11 03:55",強烈,937,51,300,150,15
1987,198711,黛納,DINAH,---,"1987-08-27 15:15
1987-08-30 08:30",強烈,910,62,400,200,12
1987,198710,凱瑞,CARY,---,"1987-08-15 09:40
1987-08-19 03:20",中度,968,38,200,80,16
1987,198708,亞力士,ALEX,6,"1987-07-25 15:10
1987-07-27 21:35",中度,976,35,250,100,10
1987,198706,費南,VERNON,6,"1987-07-19 15:15
1987-07-22 04:25",中度,981,33,200,120,11
1987,198705,賽洛瑪,THELMA,---,"1987-07-11 10:00
1987-07-15 04:10",強烈,911,60,350,150,16
1986,198617,艾倫,ELLEN,---,"1986-10-14 14:50
1986-10-17 20:35",中度,970,40,250,80,14
1986,198613,艾貝,ABBY,3,"1986-09-16 09:50
1986-09-20 15:25",強烈,943,51,400,200,18
1986,198612,韋恩,WAYNE,特殊,"1986-08-20 20:50
1986-08-23 15:15",中度,951,38,200,100,12
,,,,,"1986-08-24 08:10
1986-08-25 04:35",輕度,951,28,120,---,4
,,,,,"1986-08-28 15:25
1986-09-03 20:35",中度,951,40,150,50,26
1986,198611,薇拉,VERA,---,"1986-08-25 09:55
1986-08-27 15:58",中度,923,45,400,200,10
1986,198609,莎拉,SARAH,---,"1986-08-01 09:20
1986-08-03 09:50",輕度,986,23,150,---,9
1986,198607,佩姬,PEGGY,5,"1986-07-07 09:00
1986-07-11 15:15",強烈,900,70,400,200,18
1986,198605,南施,NANCY,6,"1986-06-22 15:25
1986-06-24 15:00",中度,955,38,200,50,9
