"","全國實徵淨額日曆年別－按稅目別分"
"","<b>總計</b> ","<b>稅課收入</b> ","關稅 ","所得稅小計 ","營利事業所得稅 ","綜合所得稅 ","遺產及贈與稅 ","遺產稅 ","贈與稅 ","貨物稅 ","證券交易稅 ","期貨交易稅 ","菸酒稅 ","特種貨物及勞務稅 ","營業稅 ","礦區稅 ","土地稅小計 ","田賦 ","地價稅 ","土地增值稅 ","房屋稅 ","使用牌照稅 ","契稅 ","印花稅 ","娛樂稅 ","特別及臨時稅課 ","商港建設費 ","屠宰稅 ","筵席稅 ","教育捐 ","鹽稅 ","防衛捐及臨時稅 ","戶稅 ","<b>公賣利益-應繳庫數</b> ","<b>金融業營業稅</b> "
"68年 8月"," 18,311,278"," 16,266,730","  4,652,466","  2,109,216","  1,389,492","    719,724","     94,543","          －","          －","  3,037,274","     58,230","          －","          －","          －","  1,171,025","        445","  2,233,045","    377,754","     70,106","  1,785,185","     49,823","     45,392","    305,275","    785,959","     70,354","          －","    877,242","    222,812","     81,377","    472,252","          －","          －","          －","  2,044,548","          －"
"68年 9月"," 18,027,267"," 15,953,511","  4,712,564","  1,931,643","  1,243,450","    688,193","     79,625","          －","          －","  3,069,504","     40,937","          －","          －","          －","  1,206,714","        703","  1,904,090","    372,228","    101,940","  1,429,922","     30,371","    102,982","    290,456","    776,235","     68,978","          －","    955,827","    224,721","     81,737","    476,424","          －","          －","          －","  2,073,756","          －"
"68年 10月"," 21,029,153"," 19,121,589","  4,120,182","  2,648,777","  1,573,994","  1,074,783","     78,333","          －","          －","  3,048,935","     34,546","          －","          －","          －","  1,380,652","        577","  4,864,455","     41,268","  3,049,518","  1,773,669","     27,190","    133,711","    284,332","    758,786","     62,121","          －","    849,923","    240,500","     71,793","    516,776","          －","          －","          －","  1,907,564","          －"
"68年 11月"," 18,478,253"," 16,547,554","  4,669,962","  1,271,922","    357,012","    914,910","     94,022","          －","          －","  2,859,883","     30,708","          －","          －","          －","  1,206,398","        847","  3,228,662","      8,791","  1,762,791","  1,457,080","    240,416","     25,553","    252,539","    800,092","     67,139","          －","    929,771","    287,059","     83,912","    498,669","          －","          －","          －","  1,930,699","          －"
"68年 12月"," 21,476,257"," 19,491,285","  4,440,471","  3,093,150","  1,924,806","  1,168,344","     96,403","          －","          －","  3,111,448","     40,276","          －","          －","          －","  1,294,138","      6,694","  1,267,762","      2,158","    135,008","  1,130,596","  2,826,163","     16,242","    258,286","    840,938","     67,039","          －","    891,246","    265,116","     86,923","    888,990","          －","          －","          －","  1,984,972","          －"
"69年","288,325,724","259,759,874"," 57,821,200"," 51,197,713"," 29,984,890"," 21,212,823","  1,388,054","          －","          －"," 47,947,501","    518,709","          －","          －","          －"," 18,879,920","     27,978"," 30,356,102","  1,089,474"," 10,429,544"," 18,837,084","  7,401,484","  4,794,437","  3,582,311"," 11,494,806","    907,268","          －"," 12,526,535","  2,659,241","    588,911","  7,667,704","          －","          －","          －"," 28,565,850","          －"
"69年 1月"," 21,847,074"," 19,653,299","  4,955,343","  4,573,714","  2,803,581","  1,770,133","     86,570","          －","          －","  3,759,092","     39,937","          －","          －","          －","  1,654,647","      3,582","  1,125,408","      6,686","     50,501","  1,068,221","    112,667","    176,186","    256,546","    943,462","     68,708","          －","    956,031","    254,718","     87,251","    599,437","          －","          －","          －","  2,193,775","          －"
"69年 2月"," 17,417,936"," 15,511,578","  4,603,673","  1,812,124","    362,112","  1,450,012","     91,503","          －","          －","  3,400,564","     31,701","          －","          －","          －","  1,369,866","        669","    970,458","      2,586","     33,133","    934,739","     32,241","    231,644","    253,651","    873,059","     79,542","          －","    888,371","    257,827","     89,762","    524,923","          －","          －","          －","  1,906,358","          －"
"69年 3月"," 25,763,382"," 23,883,799","  5,053,607","  7,085,659","  2,410,162","  4,675,497","     84,513","          －","          －","  3,469,321","     52,776","          －","          －","          －","  1,214,537","         84","  1,312,998","      2,727","    266,435","  1,043,836","     33,560","  2,747,339","    256,035","    741,268","     71,921","          －","    981,085","    224,180","     80,576","    474,340","          －","          －","          －","  1,879,583","          －"
"69年 4月"," 25,706,476"," 23,616,259","  5,010,863","  3,855,530","  1,331,120","  2,524,410","     69,716","          －","          －","  3,986,707","     31,367","          －","          －","          －","  1,641,042","        283","  4,844,120","      2,508","  3,834,678","  1,006,934","     25,165","    871,887","    334,194","    895,024","     78,405","          －","  1,043,950","    231,339","     90,632","    606,035","          －","          －","          －","  2,090,217","          －"
"69年 5月"," 24,944,359"," 22,811,967","  4,911,777","  6,527,519","  5,045,618","  1,481,901","    123,662","          －","          －","  3,870,023","     21,950","          －","          －","          －","  1,464,409","        825","  2,187,295","      2,859","    896,669","  1,287,767","    232,534","    113,342","    348,287","    939,960","     73,802","          －","  1,084,114","    247,945","     89,474","    575,049","          －","          －","          －","  2,132,392","          －"
"69年 6月"," 26,134,369"," 24,187,712","  5,023,309","  4,113,123","  2,888,196","  1,224,927","    104,073","          －","          －","  4,780,027","     16,471","          －","          －","          －","  1,456,664","      9,185","  1,617,260","      4,639","     98,253","  1,514,368","  3,115,460","     78,789","    314,183","  1,039,401","     70,430","          －","  1,055,274","    264,485","    135,355","    994,223","          －","          －","          －","  1,946,657","          －"
