SiteName,SiteEngName,County,Township,Basin,River,TWD97Lon,TWD97Lat,TWD97TM2X,TWD97TM2Y,SampleDate,ItemName,ItemEngName,ItemEngAbbreviation,ItemValue,ItemUnit
蘭陽大橋,Lanyangda Bridge,宜蘭縣,五結鄉,蘭陽溪流域,蘭陽溪,121.7722880,24.7135820,328136.13,2734274.19,2015-07-09,大腸桿菌群,Coliform Group,Coliform,7800,CFU/100mL
蘭陽大橋,Lanyangda Bridge,宜蘭縣,五結鄉,蘭陽溪流域,蘭陽溪,121.7722880,24.7135820,328136.13,2734274.19,2015-07-09,溶氧飽和度,Dissolved Oxygen Saturation,DOS,93.9,%
蘭陽大橋,Lanyangda Bridge,宜蘭縣,五結鄉,蘭陽溪流域,蘭陽溪,121.7722880,24.7135820,328136.13,2734274.19,2015-07-09,氯鹽,Chloride,Cl,-,mg/L
蘭陽大橋,Lanyangda Bridge,宜蘭縣,五結鄉,蘭陽溪流域,蘭陽溪,121.7722880,24.7135820,328136.13,2734274.19,2015-07-09,氨氮,NH3-N,NH3-N,0.03,mg/L
蘭陽大橋,Lanyangda Bridge,宜蘭縣,五結鄉,蘭陽溪流域,蘭陽溪,121.7722880,24.7135820,328136.13,2734274.19,2015-07-09,化學需氧量,Chemical Oxygen Demand,COD,4.5,mg/L
蘭陽大橋,Lanyangda Bridge,宜蘭縣,五結鄉,蘭陽溪流域,蘭陽溪,121.7722880,24.7135820,328136.13,2734274.19,2015-07-09,生化需氧量,Biochemical Oxygen Demand,BOD5,<1.0,mg/L
蘭陽大橋,Lanyangda Bridge,宜蘭縣,五結鄉,蘭陽溪流域,蘭陽溪,121.7722880,24.7135820,328136.13,2734274.19,2015-07-09,溶氧(電極法),Dissolved Oxygen,DO,7.2,mg/L
蘭陽大橋,Lanyangda Bridge,宜蘭縣,五結鄉,蘭陽溪流域,蘭陽溪,121.7722880,24.7135820,328136.13,2734274.19,2015-07-09,懸浮固體,Suspended Solid,SS,83.4,mg/L
蘭陽大橋,Lanyangda Bridge,宜蘭縣,五結鄉,蘭陽溪流域,蘭陽溪,121.7722880,24.7135820,328136.13,2734274.19,2015-07-09,氣溫,Temperature,TMP,31.8,℃
蘭陽大橋,Lanyangda Bridge,宜蘭縣,五結鄉,蘭陽溪流域,蘭陽溪,121.7722880,24.7135820,328136.13,2734274.19,2015-07-09,導電度,Conductivity,EC,534,μmho/cm25℃
蘭陽大橋,Lanyangda Bridge,宜蘭縣,五結鄉,蘭陽溪流域,蘭陽溪,121.7722880,24.7135820,328136.13,2734274.19,2015-07-09,酸鹼值,pH,pH,8.0,
蘭陽大橋,Lanyangda Bridge,宜蘭縣,五結鄉,蘭陽溪流域,蘭陽溪,121.7722880,24.7135820,328136.13,2734274.19,2015-07-09,水溫,Water Temperature,WT,28.7,℃
蘭陽大橋,Lanyangda Bridge,宜蘭縣,五結鄉,蘭陽溪流域,蘭陽溪,121.7722880,24.7135820,328136.13,2734274.19,2015-07-09,河川污染分類指標,River Pollution Index,RPI,2.3,
葫蘆堵大橋(原為上深溝),Shangshengo,宜蘭縣,員山鄉,蘭陽溪流域,蘭陽溪,121.6822540,24.7051820,319031.21,2733295.46,2015-07-09,大腸桿菌群,Coliform Group,Coliform,1000,CFU/100mL
葫蘆堵大橋(原為上深溝),Shangshengo,宜蘭縣,員山鄉,蘭陽溪流域,蘭陽溪,121.6822540,24.7051820,319031.21,2733295.46,2015-07-09,溶氧飽和度,Dissolved Oxygen Saturation,DOS,125.3,%
葫蘆堵大橋(原為上深溝),Shangshengo,宜蘭縣,員山鄉,蘭陽溪流域,蘭陽溪,121.6822540,24.7051820,319031.21,2733295.46,2015-07-09,氯鹽,Chloride,Cl,-,mg/L
葫蘆堵大橋(原為上深溝),Shangshengo,宜蘭縣,員山鄉,蘭陽溪流域,蘭陽溪,121.6822540,24.7051820,319031.21,2733295.46,2015-07-09,氨氮,NH3-N,NH3-N,0.04,mg/L
葫蘆堵大橋(原為上深溝),Shangshengo,宜蘭縣,員山鄉,蘭陽溪流域,蘭陽溪,121.6822540,24.7051820,319031.21,2733295.46,2015-07-09,化學需氧量,Chemical Oxygen Demand,COD,5.5,mg/L
葫蘆堵大橋(原為上深溝),Shangshengo,宜蘭縣,員山鄉,蘭陽溪流域,蘭陽溪,121.6822540,24.7051820,319031.21,2733295.46,2015-07-09,生化需氧量,Biochemical Oxygen Demand,BOD5,<1.0,mg/L
葫蘆堵大橋(原為上深溝),Shangshengo,宜蘭縣,員山鄉,蘭陽溪流域,蘭陽溪,121.6822540,24.7051820,319031.21,2733295.46,2015-07-09,溶氧(電極法),Dissolved Oxygen,DO,9.6,mg/L
葫蘆堵大橋(原為上深溝),Shangshengo,宜蘭縣,員山鄉,蘭陽溪流域,蘭陽溪,121.6822540,24.7051820,319031.21,2733295.46,2015-07-09,懸浮固體,Suspended Solid,SS,41.6,mg/L
葫蘆堵大橋(原為上深溝),Shangshengo,宜蘭縣,員山鄉,蘭陽溪流域,蘭陽溪,121.6822540,24.7051820,319031.21,2733295.46,2015-07-09,氣溫,Temperature,TMP,30.8,℃
葫蘆堵大橋(原為上深溝),Shangshengo,宜蘭縣,員山鄉,蘭陽溪流域,蘭陽溪,121.6822540,24.7051820,319031.21,2733295.46,2015-07-09,導電度,Conductivity,EC,506,μmho/cm25℃
葫蘆堵大橋(原為上深溝),Shangshengo,宜蘭縣,員山鄉,蘭陽溪流域,蘭陽溪,121.6822540,24.7051820,319031.21,2733295.46,2015-07-09,酸鹼值,pH,pH,8.4,
葫蘆堵大橋(原為上深溝),Shangshengo,宜蘭縣,員山鄉,蘭陽溪流域,蘭陽溪,121.6822540,24.7051820,319031.21,2733295.46,2015-07-09,水溫,Water Temperature,WT,28.4,℃
葫蘆堵大橋(原為上深溝),Shangshengo,宜蘭縣,員山鄉,蘭陽溪流域,蘭陽溪,121.6822540,24.7051820,319031.21,2733295.46,2015-07-09,河川污染分類指標,River Pollution Index,RPI,1.5,
崙埤橋(原為崙碑),Lonbei,宜蘭縣,大同鄉,蘭陽溪流域,蘭陽溪,121.6093760,24.6759970,311389.74,2730573.28,2015-07-09,大腸桿菌群,Coliform Group,Coliform,42000,CFU/100mL
崙埤橋(原為崙碑),Lonbei,宜蘭縣,大同鄉,蘭陽溪流域,蘭陽溪,121.6093760,24.6759970,311389.74,2730573.28,2015-07-09,溶氧飽和度,Dissolved Oxygen Saturation,DOS,99.9,%
崙埤橋(原為崙碑),Lonbei,宜蘭縣,大同鄉,蘭陽溪流域,蘭陽溪,121.6093760,24.6759970,311389.74,2730573.28,2015-07-09,氯鹽,Chloride,Cl,-,mg/L
崙埤橋(原為崙碑),Lonbei,宜蘭縣,大同鄉,蘭陽溪流域,蘭陽溪,121.6093760,24.6759970,311389.74,2730573.28,2015-07-09,氨氮,NH3-N,NH3-N,0.03,mg/L
崙埤橋(原為崙碑),Lonbei,宜蘭縣,大同鄉,蘭陽溪流域,蘭陽溪,121.6093760,24.6759970,311389.74,2730573.28,2015-07-09,化學需氧量,Chemical Oxygen Demand,COD,6.5,mg/L
