id,行業別,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
399,其他工業製品製造,387418500,436877085,482856137,490581736,547350100,599357447,635153025,628698588,670270545,682707838,718764908,665372508,742319748,758465034,744415090,754723291,848582741
39,其他工業製品製造業合計,576397293,619414844,675757343,669898058,733361091,795411824,831371956,820735908,873361788,885571025,920940413,831812244,930105463,937386593,915532532,922112680,1007430243
C.,製造業合計,59090445718,61981666330,67378329131,66127460205,69696372915,73690835104,79267424598,82517502481,86868868645,91042007512,91206710041,85298022794,97113373998,1.0122E+11,1.0217E+11,1.05131E+11,1.06758E+11
41,電力供應業,1862010,26116553,180985598,374996422,555667919,666935775,641593189,269354167,231337293,317545280,324955920,162383183,157982806,229249928,230941908,187490200,111139635
42,氣體燃料供應業,431944435,396380561,492434263,528110196,557731962,556228864,571274504,614458597,695459170,722212660,808025827,419347095,369207290,391307798,450482124,427045545,478683546
43,蒸氣、熱水及熱能供應業,3342468,5148586,13482143,14835450,11334838,16980546,16218987,32032916,42134435,40128904,53257202,43300805,36296546,97075766,70459065,74780508,47357672
44,用水供應業,990492821,1041392378,1144745043,1147540476,1128752585,1174658340,1231600036,1224042731,1268980785,1308748682,1285770722,1254226637,1296043288,1298290027,1273864111,1272842006,1267352340
D.,水、電、燃氣業合計,1427641734,1469038078,1831647047,2065482544,2253487304,2414803525,2460686716,2139888411,2237911683,2388635526,2472009671,1879257720,1859529930,2015923519,2025747208,1962158259,1904533193
45,土木工程業,122752838,123195412,146704085,157747061,177534208,209102807,148613764,105258580,106129577,116834151,110732014,118965002,122497909,122200130,124026457,117382264,124149015
46,建築工程業,284264142,275886082,266137302,274570068,241023798,247139560,273767627,319776607,324785253,333573087,329831503,269479804,245733899,269877089,305767616,332389502,396855743
47,機電、電路及管道工程業,12794835,12158620,14012787,50531410,48894498,26043263,38663998,33008196,30093617,25721800,25133636,16517589,18789708,18986792,20301017,13407631,12930717
48,建物裝潢業,1095984,903260,801152,1661254,2401285,4048973,1218622,608840,631403,3924922,2704037,829915,914063,911282,757039,665487,665819
49,其他營造業,75136059,70129396,62108674,58760216,60035985,57503236,93600317,94179948,77356468,95320246,97223663,81960057,83782301,88616926,91267164,97217316,91138763
E.,營造業合計,496043858,482272770,489764000,543270010,529889774,543837839,555864328,552832171,538996318,575374206,565624853,487752367,471717880,500592219,542119293,561062200,625740057
511,綜合商品批發,217608101,255144860,317237765,347074567,394409225,398501585,420118544,444345164,459151212,454090953,451980096,464649841,455836098,441357770,424543948,429897932,415870905
512,農、畜、水產品批發,86185225,107082871,119623404,126234596,135638054,140666078,141268393,144535117,128644780,125374882,123211800,122012643,124091297,122485990,119594636,121210449,120352780
513,食品什貨批發,57288238,60359856,59233336,58760322,60168990,62760431,62769303,62293157,62711521,61512534,58844961,59557019,60423876,64838324,66145802,68898710,69742989
514,布疋、衣著、服飾品批發,35999565,37540027,38980023,35974085,35185572,34352169,32981648,33170054,35389169,36719523,33898245,30769223,30215238,29467870,29042499,29297524,28260784
515,家具及室內裝設品批發,23834326,25130408,24676445,16248294,11427628,11551336,15504899,16541913,15412370,14826604,13844017,10363572,10253349,9997971,9247183,8056431,8018318
516,五金及家庭日常用品批發,20528055,22564485,22595929,30369723,36136603,37734512,40290504,55858746,56827888,56104187,55063448,50644908,51979797,50938985,44134879,43613971,41612820
517,化學製品批發,1923080,3452500,3534791,3424911,3971746,4882731,6217556,7086830,7596324,6997955,6407162,6636375,8279623,8573514,7884915,7235503,7215677
518,藥品、化妝品批發,5201353,6043138,8564844,5769042,4411497,4641151,5575033,6174366,7207354,7791007,7909384,8382893,8789941,8823785,8710260,8873415,9308806
51,批發業合計,448567943,517318145,594446537,623855541,681349315,695089993,724725880,770005347,772940618,763417645,751159113,753016474,749869219,736484209,709304122,717083935,700383079
521,文教、育樂用品批發,11218037,11642008,12442382,12652879,12507288,13015926,13966740,14072757,15528540,15123733,14045770,13869334,13825448,12839032,12271165,12290285,11500668
522,鐘錶、眼鏡批發,2030668,1925192,2221767,3080305,3716756,3947895,4517066,5658789,5901313,6288921,5777858,5610376,5469237,5412877,5276008,5062106,5063472
523,建材批發,6124275,11614299,12025945,11803876,10181060,8082207,7170096,7619149,8477293,9105953,8215833,6265561,6196249,6230718,6177801,7724699,7776330
524,燃料批發,24465480,29465011,30573941,29655594,29858554,30695377,30340161,29750509,27667149,26144455,22655963,23905634,22577806,17834306,21104694,18343688,17472012
